Angle,Time
-8.00005,0.0
-8.00015,0.005
-8.0003,0.01
-8.000499999999999,0.015
-8.000749999999998,0.02
-8.00092123062665,0.025
-8.001337671138641,0.030000000000000002
-8.001999301188205,0.035
-8.002906099628273,0.04
-8.004058044491735,0.045
-8.005455147432677,0.049999999999999996
-8.00709733348932,0.05499999999999999
-8.008984521612458,0.05999999999999999
-8.01111662430713,0.06499999999999999
-8.013493547262106,0.06999999999999999
-8.016115188956007,0.075
-8.01898144028992,0.08
-8.022092184185382,0.085
-8.025447295171208,0.09000000000000001
-8.029046638959313,0.09500000000000001
-8.032890072009717,0.10000000000000002
-8.036977441084895,0.10500000000000002
-8.041308582793679,0.11000000000000003
-8.04588332312493,0.11500000000000003
-8.050701476971183,0.12000000000000004
-8.055762847642532,0.12500000000000003
-8.061067226370984,0.13000000000000003
-8.06661439180556,0.13500000000000004
-8.07240410949843,0.14000000000000004
-8.07843613138237,0.14500000000000005
-8.084710195239873,0.15000000000000005
-8.091226024164238,0.15500000000000005
-8.097983326012981,0.16000000000000006
-8.10498179285396,0.16500000000000006
-8.112221100404572,0.17000000000000007
-8.119700907464447,0.17500000000000007
-8.12742085534206,0.18000000000000008
-8.135380567275694,0.18500000000000008
-8.143579647849236,0.19000000000000009
-8.152017682403264,0.1950000000000001
-8.160694236441945,0.2000000000000001
-8.16960885503626,0.2050000000000001
-8.178761062224108,0.2100000000000001
-8.188150360407816,0.2150000000000001
-8.197776229749689,0.2200000000000001
-8.207638127566161,0.22500000000000012
-8.217735487721193,0.23000000000000012
-8.228067720019533,0.23500000000000013
-8.238634209600539,0.24000000000000013
-8.249434316333202,0.24500000000000013
-8.260467374213105,0.2500000000000001
-8.271732690762013,0.2550000000000001
-8.28322954643084,0.2600000000000001
-8.294957194006747,0.2650000000000001
-8.306914858025133,0.27000000000000013
-8.319101734187317,0.27500000000000013
-8.331516988784712,0.28000000000000014
-8.344159758130298,0.28500000000000014
-8.357029147998233,0.29000000000000015
-8.370124233072456,0.29500000000000015
-8.383444056405107,0.30000000000000016
-8.396987628885665,0.30500000000000016
-8.410753928721658,0.31000000000000016
-8.424741900931837,0.31500000000000017
-8.4389504568527,0.3200000000000002
-8.453378473659262,0.3250000000000002
-8.46802479390098,0.3300000000000002
-8.48288822505372,0.3350000000000002
-8.497967539088677,0.3400000000000002
-8.51326147205915,0.3450000000000002
-8.528768723706072,0.3500000000000002
-8.544487957083174,0.3550000000000002
-8.560417798202685,0.3600000000000002
-8.576556835702457,0.3650000000000002
-8.59290362053534,0.3700000000000002
-8.609456665681716,0.3750000000000002
-8.626214445885985,0.3800000000000002
-8.643175397417867,0.38500000000000023
-8.66033791785929,0.39000000000000024
-8.677700365917664,0.39500000000000024
-8.695261061266315,0.40000000000000024
-8.713018284412774,0.40500000000000025
-8.73097027659567,0.41000000000000025
-8.749115239710882,0.41500000000000026
-8.767451336267593,0.42000000000000026
-8.785976689374872,0.42500000000000027
-8.804689382759344,0.43000000000000027
-8.823587460814496,0.4350000000000003
-8.842668928682103,0.4400000000000003
-8.86193175236625,0.4450000000000003
-8.88137385888033,0.4500000000000003
-8.900993136427413,0.4550000000000003
-8.92078743461428,0.4600000000000003
-8.940754564699406,0.4650000000000003
-8.9608922998751,0.4700000000000003
-8.981198375583974,0.4750000000000003
-9.001670489869843,0.4800000000000003
-9.022306303763134,0.4850000000000003
-9.043103441700776,0.4900000000000003
-9.064059491980547,0.49500000000000033
-9.085172007249751,0.5000000000000003
-9.106438505028057,0.5050000000000003
-9.127856468264277,0.5100000000000003
-9.14942334592679,0.5150000000000003
-9.171136553627285,0.5200000000000004
-9.192993474277397,0.5250000000000004
-9.214991458777792,0.5300000000000004
-9.237127826739174,0.5350000000000004
-9.259399867234642,0.5400000000000004
-9.281804839582758,0.5450000000000004
-9.304339974160646,0.5500000000000004
-9.327002473246363,0.5550000000000004
-9.349789511889766,0.5600000000000004
-9.372698238810994,0.5650000000000004
-9.395725777325705,0.5700000000000004
-9.418869226296078,0.5750000000000004
-9.442125661106605,0.5800000000000004
-9.465492134663636,0.5850000000000004
-9.488965678417568,0.5900000000000004
-9.512543303406575,0.5950000000000004
-9.536222001320706,0.6000000000000004
-9.559998745585144,0.6050000000000004
-9.583870492461406,0.6100000000000004
-9.607834182165197,0.6150000000000004
-9.631886739999658,0.6200000000000004
-9.65602507750265,0.6250000000000004
-9.680246093606776,0.6300000000000004
-9.704546675810745,0.6350000000000005
-9.728923701360724,0.6400000000000005
-9.753374038440286,0.6450000000000005
-9.777894547367552,0.6500000000000005
-9.802482081798118,0.6550000000000005
-9.827133489932368,0.6600000000000005
-9.851845615725754,0.6650000000000005
-9.876615300100637,0.6700000000000005
-9.90143938215829,0.6750000000000005
-9.926314700389666,0.6800000000000005
-9.951238093883537,0.6850000000000005
-9.976206403530664,0.6900000000000005
-10.001216473222609,0.6950000000000005
-10.026265151043885,0.7000000000000005
-10.051349290456118,0.7050000000000005
-10.076465751472941,0.7100000000000005
-10.101611401824362,0.7150000000000005
-10.126783118109373,0.7200000000000005
-10.151977786935605,0.7250000000000005
-10.177192306044867,0.7300000000000005
-10.202423585423443,0.7350000000000005
-10.227668548396043,0.7400000000000005
-10.252924132702377,0.7450000000000006
-10.278187291555334,0.7500000000000006
-10.303454994679782,0.7550000000000006
-10.328724229331097,0.7600000000000006
-10.353992001292514,0.7650000000000006
-10.37925533585047,0.7700000000000006
-10.404511278747165,0.7750000000000006
-10.429756897109591,0.7800000000000006
-10.454989280354331,0.7850000000000006
-10.480205541067491,0.7900000000000006
